Year,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
2012,5282.79574,7907.963325,7696.331236,3517.219872,5295.651395,5477.430762,2281.623882,4237.062588,7727.96179,8514.83323,8525.075394,7769.808249,8467.428946,7627.5538,7994.606823,4105.324235,2343.412478,6346.828746,7712.547729,3423.062213,6487.408398,2743.78003,7619.991955,4431.549372,6660.581811,4725.991647,6543.120637,7338.895071,7108.269262,3724.921422,5403.429133,4544.982539
2013,6202.551104,7923.051677,7223.821923,3802.404654,5433.517153,4779.144423,2321.806935,3349.727169,7100.749201,7979.161925,7640.450776,7359.33115,7860.770285,6759.032359,7625.954359,4114.03598,2247.497215,6344.358225,7648.064448,3495.025022,4736.30448,1479.209733,7486.184079,3476.452984,6709.998233,4228.809371,4032.068722,7753.444602,6881.892391,3805.86642,5385.305383,4322.412235
2014,4931.483664,7868.67452,7142.21544,3558.096528,5171.622226,5170.700432,2338.176619,4368.744581,8138.021176,7886.98591,8059.029421,7890.76578,7668.954931,7395.395222,6433.274429,4060.903275,2165.187222,5740.04294,7542.434584,3633.645118,5533.409088,1427.332956,6549.243889,4528.797295,6337.778151,4578.415745,6366.691111,6843.424334,6252.048977,3406.072179,5402.72684,4336.78796
2015,4677.552572,7643.606199,7248.613191,3657.072335,5103.919289,6187.095708,2249.732871,4589.602253,8340.97659,7814.6477,7802.143909,7867.585943,8260.921717,7942.454294,7152.905779,3818.69244,2326.861462,6061.836931,7540.630423,3481.769343,5968.593725,1677.570433,7264.548273,4245.96512,6355.816035,5365.217158,6740.398097,6299.610549,6684.155392,4252.312422,5734.390498,4237.420016
2016,6103.138389,7634.202751,7229.850809,3672.519913,5158.035896,6126.346727,2335.947563,4327.940954,8002.007741,7220.656123,7568.23668,7391.070613,7676.476716,7187.872233,5944.768811,3564.46406,2333.307669,5074.285327,7340.989631,3361.777968,6308.025047,1942.777394,6394.852895,3271.831609,5523.721925,3706.690077,5661.348466,5882.598462,4651.864624,3886.097913,4508.086093,2953.056281
2017,4409.032061,7619.628983,7481.887075,3547.548205,5288.923747,5366.026127,2293.255338,4086.174305,8178.424163,7488.27926,6375.164143,7761.148073,8324.677663,7456.50687,6946.05484,3140.531329,2256.405471,5412.81964,7495.315768,3039.946291,4869.099339,2566.575643,7257.871558,5613.638804,6689.887446,4546.357043,5783.67579,6389.055465,6697.307794,3701.878545,5211.700464,4307.899003
2018,4973.452828,7681.749102,6489.463106,3722.792934,5348.473104,5047.111592,2336.147266,4306.302074,7635.243266,6541.173725,7896.52733,7095.868167,7695.509696,7155.34773,7173.005014,3984.711451,2332.365385,6058.812417,7534.94419,3183.181136,6400.503039,2405.091795,7385.950426,4460.9187,5911.918435,5281.889142,7183.355726,7335.186758,6925.22948,4035.609044,5425.704883,4456.257699
2019,5688.095967,7803.493088,6891.96143,3572.3411,5151.699298,4800.977459,2245.915064,4124.957212,8004.48301,8459.561984,8151.45048,7654.044207,8140.488869,7448.901064,7677.51843,4071.283049,2269.421905,6074.20174,7463.153418,3727.277152,6351.712954,2371.529249,7314.606882,3969.806673,6858.963651,4373.560537,5976.319444,7438.906975,6764.641058,3660.51903,4930.841476,3916.779264
2020,5301.892325,7689.396066,6790.990284,3605.898494,4977.668635,5085.12714,2107.549649,3947.241037,7803.500596,7804.327885,8165.608017,7340.043613,8501.261936,7382.808088,7145.699501,4223.396432,2223.404159,7182.682833,7114.587627,4587.671278,6256.74299,1963.707742,7137.778096,3652.508757,6806.616515,5312.658992,6853.679491,7534.130746,6824.764379,4978.275904,5628.623487,3866.686052
2021,6314.314178,7816.379651,6815.728472,3756.671007,5263.207558,5089.874977,2422.04613,4049.997993,8043.43572,7294.583492,7638.60173,7598.808807,8567.129532,7505.574741,7187.022891,3919.154857,2269.694135,6978.489025,7995.432259,3480.316957,6764.264719,1554.394343,7172.340097,3870.190251,5909.911263,5340.228872,6727.017326,6653.584596,6316.818769,3914.845339,6096.153246,4893.17935
2022,3593.847966,6042.628152,7110.203707,3461.297479,4904.926874,5827.177613,2194.501122,4204.647065,7692.400987,8148.031079,7758.944908,7005.049713,8293.77654,7072.137666,8070.29929,4165.390916,2339.356112,6216.680917,6826.517387,3185.443931,5423.942227,1833.292206,6539.826901,4944.493954,6109.097199,5376.095997,6546.488125,5571.064228,5802.324189,4003.874566,5279.46902,3743.801255
2023,4089.446713,7025.520259,6986.037286,3046.934046,4814.113112,4820.862065,2020.565657,3857.412936,7612.080423,8043.618008,7548.102962,6949.66119,8159.593298,7427.526824,7162.676912,3609.52851,2085.736109,5940.05632,7788.02057,3043.052916,6475.807247,1479.913313,7218.656107,3725.522044,5985.47644,4083.413996,5882.560436,6640.480193,6688.102032,3098.589585,5348.646032,4762.553849
2024,4791.035075,7612.726905,7191.266859,3674.333341,5165.71243,5480.707131,2256.135871,3699.608205,8047.724399,7561.652026,7716.193637,7769.224971,8035.621808,6842.839605,7645.135116,3670.302541,2162.354624,6306.508897,8204.416022,3598.784826,7553.057942,2291.931141,7440.512241,4023.54972,5982.159175,5433.697628,6874.047728,7075.82981,7015.745506,4483.282103,5783.791548,5140.680446
