No.,HCO3,SO4,CL,CA,MG,NA,GROUP
1,1.2336132,1.4892992,2.063736,1.718055,1.609811,2.048392,1
2,1.0899351,1.4863659,2.088127,1.744795,1.56954,2.074675,1
3,0.75678,1.2578064,2.172277,1.925114,1.75613,2.147922,1
4,1.1790524,1.4247938,2.162211,1.921428,1.669995,2.139829,1
5,1.1122589,1.5086139,2.152822,1.896876,1.673735,2.132288,1
6,0.9433672,1.3839716,2.161668,1.921772,1.643125,2.139208,1
7,0.6503914,1.3512372,2.171314,1.949254,1.71787,2.144241,1
8,1.4541659,0,1.776721,1.285754,1.128774,1.776721,2
9,1.2711498,1.7333635,2.203852,1.717499,1.70692,2.201384,2
10,1.1947055,1.7323562,2.104513,1.733865,1.80544,2.089718,2
11,1.305043,1.7311725,2.16038,1.73185,1.66064,2.15505,2
12,1.3527114,1.7112397,2.055296,1.709683,1.59925,2.050431,2
13,1.3122965,1.6855992,1.990666,1.755555,1.638586,1.968502,2
14,0.6059044,1.2336132,2.211749,1.985005,1.866615,2.183786,3
15,0.9266593,1.0383488,2.064702,1.791857,1.657941,2.034081,3
16,0.462341,1.2177414,2.112183,1.901021,1.754833,2.071342,3
17,0.7078483,1.4541659,1.82713,1.524875,1.301321,1.806759,3
18,1.1885695,0.9089053,1.898066,1.508614,1.423767,1.859639,3
19,1.0945622,1.3541752,1.93027,1.560011,1.439569,1.911837,3
