FID_First,COUNT,MEAN_First,STD_First
0,1515219.000000000000000,5282.795739757628326,2930.083352634258972
1,656859.000000000000000,7907.963325462631474,1967.242444384960891
2,444918.000000000000000,7696.331236317874755,1341.382240904886430
3,1236160.000000000000000,3517.219872023000789,1717.656453273075385
4,1665746.000000000000000,5295.651394630473078,2616.208638008238722
5,1641530.000000000000000,5477.430762154910553,1620.664833820393824
6,527726.000000000000000,2281.623882469325963,1521.181334223234444
7,390073.000000000000000,4237.062588284713456,1854.852383339581820
8,604341.000000000000000,7727.961789784226312,1242.471726471321745
9,88757.000000000000000,8514.833230054928208,1568.079386114641466
10,1040644.000000000000000,8525.075393698696644,996.727127754483490
11,11574791.000000000000000,7769.808248978103620,1219.723033191680997
12,848762.000000000000000,8467.428945923536958,1344.264375532963641
13,3132364.000000000000000,7627.553800260709977,1411.057822820813499
14,1378568.000000000000000,7994.606823167079710,1147.092373072243618
15,944309.000000000000000,4105.324234969669305,2139.331140517097992
16,9659924.000000000000000,2343.412477986378690,1428.580022920657711
17,867077.000000000000000,6346.828746466489065,2920.661207338939676
18,358650.000000000000000,7712.547728983739944,1671.694563907068641
19,2181185.000000000000000,3423.062212512904352,2678.624902213156929
20,2840239.000000000000000,6487.408398377643607,1629.282594215425206
21,785060.000000000000000,2743.780029551887765,2740.298564649765467
22,27707469.000000000000000,7619.991954949163301,1666.166439296956014
23,542891.000000000000000,4431.549371789266843,3500.984618383794441
24,16978235.000000000000000,6660.581811183521495,3023.810177123906215
25,1391794.000000000000000,4725.991647470952557,3476.588742449982874
26,387362.000000000000000,6543.120636510606346,2442.760866958274619
27,2460018.000000000000000,7338.895070686240615,2353.087706348934717
28,15639398.000000000000000,7108.269261578514488,2552.188368141697993
29,2225584.000000000000000,3724.921421972750522,3352.331382751985529
30,3673718.000000000000000,5403.429132556999321,2166.348695653932737
31,171815.000000000000000,4544.982539359200018,1891.827982260517501
