FID,COUNT,MEAN,STD
0,1467730.000000000000000,4931.483663889105628,3241.643626197173944
1,657257.000000000000000,7868.674520012686116,2020.429662819070700
2,444755.000000000000000,7142.215439961326410,1562.399794533043178
3,1232221.000000000000000,3558.096528138978101,1833.083583088283831
4,1666321.000000000000000,5171.622225849738243,2534.234771359512706
5,1641555.000000000000000,5170.700432212071064,1736.963641561754685
6,515070.000000000000000,2338.176618712033815,1581.702125999620876
7,389873.000000000000000,4368.744580927752395,1892.135802794753999
8,603716.000000000000000,8138.021175519645112,1266.838068766769311
9,88361.000000000000000,7886.985910073493869,2230.115022952925301
10,1040016.000000000000000,8059.029420701310301,1684.828713734461417
11,11572621.000000000000000,7890.765780370923494,1344.375384837314186
12,848196.000000000000000,7668.954931407411095,2258.406386945625400
13,3124910.000000000000000,7395.395221942517310,1693.632510581502629
14,1375000.000000000000000,6433.274429091112324,2397.547752293429767
15,946356.000000000000000,4060.903275300220230,2047.008366567472194
16,9728873.000000000000000,2165.187221993698131,1322.703714614551245
17,863126.000000000000000,5740.042940428294969,2994.685544580803253
18,360029.000000000000000,7542.434584436226032,1936.737230103434740
19,2108787.000000000000000,3633.645117785883940,2769.104327852726783
20,2842202.000000000000000,5533.409088446187525,2085.232844798798851
21,787489.000000000000000,1427.332955761903577,1733.630465290287930
22,27597939.000000000000000,6549.243889443782791,2526.285118900117141
23,536113.000000000000000,4528.797294600072746,3298.153433411708647
24,16907724.000000000000000,6337.778151452690508,3122.475158931959413
25,1394992.000000000000000,4578.415745036603766,3360.975699915319638
26,387418.000000000000000,6366.691111409371842,2564.490376657379329
27,2461005.000000000000000,6843.424334367453412,2799.489920009792058
28,15609001.000000000000000,6252.048977189971993,2980.050507438646491
29,2208266.000000000000000,3406.072179257408152,3206.531092251454538
30,3687141.000000000000000,5402.726840118545624,2085.380565844340254
31,171567.000000000000000,4336.787960388563988,1879.764824244330157
